,fermi_alpha,fermi_b,social_factor,connections_per_step,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
89,9.46875,9.4921875,0.87109375,4,2.23046875,0.87890625,3,1.5115712479385428,1.1937138121288986,0.0
57,5.46875,4.4140625,0.02734375,2,6.73046875,0.37890625,3,0.36674775439862023,0.3261906079340639,0.0280407015128124
38,8.53125,8.2421875,0.65234375,3,6.37890625,0.03515625,3,0.15366289024657792,0.1561923411724772,0.0065800580770722095
3,4.46875,8.1640625,0.24609375,2,5.60546875,0.00390625,3,0.14748099531488665,0.16313688144420682,0.029125683836720963
52,5.46875,4.4921875,0.37109375,2,6.73046875,0.37890625,3,0.24093295292530978,0.21900672945546368,0.026615299814551213
43,5.46875,4.4140625,0.37109375,2,6.73046875,0.37890625,3,0.2265780598531424,0.16325935584772835,0.0280968357499047
49,5.53125,4.4140625,0.37109375,2,6.73046875,0.37890625,3,0.14356585375184178,0.12024651892075645,0.028270271854586318
64,5.46875,4.4140625,0.37109375,2,3.00390625,0.37890625,3,0.16634133893242606,0.16199461926290737,0.030004313017443135
13,4.46875,8.2421875,0.24609375,2,5.60546875,0.00390625,3,0.22925425977990987,0.18573114993257514,0.025505107675585382
8,8.53125,8.1640625,0.24609375,2,5.60546875,0.00390625,4,0.13207726877836964,0.1208064710122965,0.02473737104066662
88,9.46875,9.4921875,0.87109375,4,2.23046875,0.87890625,4,1.4834925014185834,1.1488483670821126,1.1102230246251565e-16
84,9.53125,9.4140625,0.87109375,4,2.23046875,0.87890625,4,1.8397787035606663,1.4934056790052237,1.1102230246251565e-16
